scientific_name,common_name
tropicoperdix chloropus,scaly-breasted partridge
tropicoperdix charltonii,chestnut-necklaced partridge
tropicoperdix graydoni,sabah partridge
haematortyx sanguiniceps,crimson-headed partridge
galloperdix lunulata,painted spurfowl
galloperdix bicalcarata,sri lanka spurfowl
polyplectron napoleonis,palawan peacock-pheasant
polyplectron schleiermacheri,bornean peacock-pheasant
polyplectron malacense,malayan peacock-pheasant
polyplectron germaini,germain's peacock-pheasant
polyplectron katsumatae,hainan peacock-pheasant
polyplectron bicalcaratum,gray peacock-pheasant
polyplectron inopinatum,mountain peacock-pheasant
polyplectron chalcurum,bronze-tailed peacock-pheasant
bambusicola fytchii,mountain bamboo-partridge
bambusicola thoracicus,chinese bamboo-partridge
bambusicola sonorivox,taiwan bamboo-partridge
gallus varius,green junglefowl
gallus gallus,red junglefowl
gallus sonneratii,gray junglefowl
gallus lafayettii,sri lanka junglefowl
peliperdix lathami,latham's francolin
ortygornis sephaena,crested francolin
ortygornis pondicerianus,gray francolin
ortygornis gularis,swamp francolin
francolinus pintadeanus,chinese francolin
francolinus francolinus,black francolin
francolinus pictus,painted francolin
campocolinus coqui,coqui francolin
campocolinus albogularis,white-throated francolin
campocolinus schlegelii,schlegel's francolin
scleroptila streptophora,ring-necked francolin
scleroptila levaillantii,red-winged francolin
scleroptila finschi,finsch's francolin
scleroptila psilolaema,moorland francolin
scleroptila elgonensis,elgon francolin
scleroptila afra,gray-winged francolin
scleroptila gutturalis,orange river francolin
scleroptila shelleyi,shelley's francolin
scleroptila whytei,whyte's francolin
tetraogallus tibetanus,tibetan snowcock
tetraogallus altaicus,altai snowcock
tetraogallus caucasicus,caucasian snowcock
tetraogallus caspius,caspian snowcock
tetraogallus himalayensis,himalayan snowcock
ammoperdix griseogularis,see-see partridge
ammoperdix heyi,sand partridge
synoicus ypsilophorus,brown quail
synoicus monorthonyx,snow mountain quail
synoicus chinensis,blue-breasted quail
synoicus adansonii,blue quail
margaroperdix madagarensis,madagascar partridge
coturnix coturnix,common quail
coturnix japonica,japanese quail
coturnix delegorguei,harlequin quail
coturnix coromandelica,rain quail
coturnix pectoralis,stubble quail
coturnix novaezelandiae,new zealand quail
alectoris barbara,barbary partridge
alectoris melanocephala,arabian partridge
alectoris rufa,red-legged partridge
alectoris chukar,chukar
alectoris graeca,rock partridge
alectoris philbyi,philby's partridge
alectoris magna,przevalski's partridge
perdicula asiatica,jungle bush-quail
perdicula argoondah,rock bush-quail
perdicula erythrorhyncha,painted bush-quail
perdicula manipurensis,manipur bush-quail
ophrysia superciliosa,himalayan quail
pternistis hartlaubi,hartlaub's spurfowl
pternistis camerunensis,mount cameroon spurfowl
pternistis nobilis,handsome spurfowl
pternistis castaneicollis,chestnut-naped spurfowl
pternistis erckelii,erckel's spurfowl
pternistis ochropectus,djibouti spurfowl
pternistis swierstrai,swierstra's spurfowl
pternistis ahantensis,ahanta spurfowl
pternistis griseostriatus,gray-striped spurfowl
pternistis jacksoni,jackson's spurfowl
pternistis adspersus,red-billed spurfowl
pternistis capensis,cape spurfowl
pternistis natalensis,natal spurfowl
pternistis hildebrandti,hildebrandt's spurfowl
pternistis bicalcaratus,double-spurred spurfowl
pternistis squamatus,scaly spurfowl
pternistis icterorhynchus,heuglin's spurfowl
pternistis clappertoni,clapperton's spurfowl
pternistis harwoodi,harwood's spurfowl
pternistis swainsonii,swainson's spurfowl
pternistis leucoscepus,yellow-necked spurfowl
pternistis rufopictus,gray-breasted spurfowl
pternistis afer,red-necked spurfowl
phoenicopterus chilensis,chilean flamingo
phoenicopterus ruber,american flamingo
phoenicopterus roseus,greater flamingo
phoeniconaias minor,lesser flamingo
phoenicoparrus andinus,andean flamingo
phoenicoparrus jamesi,james's flamingo
rollandia rolland,white-tufted grebe
rollandia microptera,titicaca grebe
tachybaptus rufolavatus,alaotra grebe
tachybaptus ruficollis,little grebe
tachybaptus novaehollandiae,australasian grebe
tachybaptus pelzelnii,madagascar grebe
tachybaptus dominicus,least grebe
podilymbus podiceps,pied-billed grebe
podilymbus gigas,atitlan grebe
poliocephalus poliocephalus,hoary-headed grebe
poliocephalus rufopectus,new zealand grebe
podiceps major,great grebe
podiceps auritus,horned grebe
podiceps grisegena,red-necked grebe
podiceps cristatus,great crested grebe
podiceps nigricollis,eared grebe
podiceps andinus,colombian grebe
podiceps occipitalis,silvery grebe
podiceps taczanowskii,junin grebe
podiceps gallardoi,hooded grebe
aechmophorus occidentalis,western grebe
aechmophorus clarkii,clark's grebe
columba livia,rock pigeon
columba rupestris,hill pigeon
columba leuconota,snow pigeon
columba guinea,speckled pigeon
columba albitorques,white-collared pigeon
columba oenas,stock dove
columba eversmanni,yellow-eyed pigeon
columba oliviae,somali pigeon
columba palumbus,common wood-pigeon
columba trocaz,trocaz pigeon
columba bollii,bolle's pigeon
columba unicincta,afep pigeon
columba junoniae,laurel pigeon
columba arquatrix,rameron pigeon
columba sjostedti,cameroon pigeon
columba thomensis,maroon pigeon
columba delegorguei,delegorgue's pigeon
columba iriditorques,bronze-naped pigeon
columba malherbii,sao tome pigeon
columba thiriouxi,mauritius wood-pigeon
columba pollenii,comoro pigeon
columba hodgsonii,speckled wood-pigeon
columba albinucha,white-naped pigeon
columba pulchricollis,ashy wood-pigeon
columba elphinstonii,nilgiri wood-pigeon
columba torringtoniae,sri lanka wood-pigeon
columba punicea,pale-capped pigeon
columba argentina,silvery wood-pigeon
columba palumboides,andaman wood-pigeon
columba janthina,japanese wood-pigeon
columba jouyi,ryukyu pigeon
columba versicolor,bonin pigeon
columba vitiensis,metallic pigeon
columba leucomela,white-headed pigeon
columba pallidiceps,yellow-legged pigeon
aplopelia larvata,lemon dove
patagioenas cayennensis,pale-vented pigeon
patagioenas squamosa,scaly-naped pigeon
patagioenas picazuro,picazuro pigeon
patagioenas corensis,bare-eyed pigeon
patagioenas maculosa,spot-winged pigeon
patagioenas leucocephala,white-crowned pigeon
patagioenas flavirostris,red-billed pigeon
patagioenas inornata,plain pigeon
patagioenas fasciata,band-tailed pigeon
patagioenas araucana,chilean pigeon
patagioenas caribaea,ring-tailed pigeon
patagioenas oenops,peruvian pigeon
patagioenas plumbea,plumbeous pigeon
patagioenas subvinacea,ruddy pigeon
patagioenas nigrirostris,short-billed pigeon
patagioenas goodsoni,dusky pigeon
ectopistes migratorius,passenger pigeon
nesoenas picturatus,malagasy turtle-dove
nesoenas mayeri,pink pigeon
nesoenas cicur,mauritius turtle-dove
nesoenas rodericanus,rodrigues turtle-dove
streptopelia turtur,european turtle-dove
streptopelia lugens,dusky turtle-dove
streptopelia hypopyrrha,adamawa turtle-dove
streptopelia orientalis,oriental turtle-dove
streptopelia bitorquata,sunda collared-dove
